Transaction_ID,Product_ID,Date,Quantity_Sold,Unit_Price,Discount_Percent,Final_Price,Sales_Channel,index,_temp
T005443,P0124,2023-09-10,2,68.17,0,68.17,Store_C,5442,
T001274,P0029,2023-08-22,2,26.49,0,26.49,Online ,1273,
T015288,P0340,2024-04-28,1,50.31,10,45.28,Store_A ,15287,
T004054,P0090,2023-10-06,1,119.66,0,119.66,Store_B,4053,
T027083,P0594,2023-08-07,1,53.49,20,42.79,Store_C,27082,
T017772,P0393,2024-02-21,2,43.85,0,43.85,Store_A,17771,
T030642,P0673,2023-03-16,1,36.43,0,36.43,Store_A,30641,
T026355,P0578,2024-09-27,1,57.06,0,57.06,Online,26354,
T017445,P0386,2024-10-09,1,48.75,0,48.75,Store_A,17444,
T004403,P0099,2023-07-11,1,89.75,20,71.8,Store_C,4402,
T025759,P0564,2023-09-20,1,44.7,0,44.7, Online,25758,
T021376,P0472,2024-12-30,1,48.05,10,43.24,Store_C,21375,
T017415,P0385,2024/08/16,1,85.7,30,59.99,Store_B,17414,
T027933,P0613,2024-06-07,1,53.87,30,37.71,Online,27932,
T009181,P0205,2024-03-24,1,72.51,20,58.01,Store_B,9180,
T003744,P0083,2023-11-01,1,36.7,20,29.36,Store_B,3743,
T022239,P0492,2024-03-01,1,34.96,0,34.96,Store_A,22238,
T034748,P0766,2023-09-30,1,61.88,0,61.88,Store_C,34747,
T002179,P0050,2023-09-29,1,66.41,0,66.41,store_c,2178,
T020983,P0463,2024-01-13,1,66.89,30,46.82,STORE_B,20982,
T022805,P0503,2024-09-08,1,73.66,0,73.66,Store C,22804,
T009542,P0213,2024-12-13,1,53.39,20,42.71,Online,9541,
T026245,P0575,2023-05-16,1,48.33,30,33.83,Online,26244,
T001276,P0029,2023-08-25,2,26.49,0,26.49,Online,1275,
T028905,P0634,2023-09-26,1,58.19,0,58.19,Store_C,28904,
T006565,P0147,2024-02-01,1,112.82,20,90.26,Store_A,6564,
T008042,P0182,2023-10-14,1,136.65,0,136.65,Store_A,8041,
T033549,P0737,2024-01-09,2,45.09,30,31.56,store_c,33548,
T014408,P0320,2024-09-04,1,92.24,0,92.24,Store_A,14407,
T013030,P0291,2023-09-23,1,30.31,0,30.31,Store_A,13029,
T014430,P0320,2024-10-31,1,92.24,20,73.79,Store_B,14429,
T027088,P0594,2023-10-02,1,53.49,30,37.44,Store_C,27087,
T009778,P0218,2024-03-06,1,47.92,30,33.54,Online,9777,
T023769,P0521,2024-10-25,1,36.1,20,28.88,Store_C,23768,
T029521,P0648,2023-10-09,1,38.9,0,38.9,Store_C,29520,
T023831,P0522,2023-09-25,1,32.51,30,22.76,Store_C,23830,
T025381,P0556,2024-08-27,1,21.69,0,21.69,Store_C,25380,
T010428,P0232,2024-03-28,1,61.16,0,61.16,Store_A,10427,
T025932,P0568,2024-08-22,1,41.46,30,29.02,Store C,25931,
T024379,P0535,2024-04-01,1,92.01,10,82.81,Store_A,24378,
T034628,P0763,2023-09-29,1,28.41,0,28.41,Online,34627,
T030609,P0672,2023-04-14,1,79.54,0,79.54,Store_A,30608,
T009810,P0219,2023-09-29,3,26.66,0,26.66,Store_C,9809,
T018309,P0406,2023-09-09,1,54.18,0,54.18,Online,18308,
T012115,P0271,2023-09-04,1,29.63,0,29.63,STORE_B,12114,
T008410,P0189,2023/04/28,1,48.86,30,34.2,Online,8409,
T017854,P0394,2024-11-29,1,57.78,10,52.0,Store B,17853,
T035125,P0774,2023-08-20,1,25.91,0,25.91,OnLine,35124,
T005694,P0129,2023-04-27,1,86.8,30,60.76,OnLine,5693,
T032633,P0717,2023-10-11,2,55.97,10,50.37,Store_C,32632,
T005271,P0119,2023-05-01,1,86.72,20,69.38,Store_C,5270,
T028531,P0626,2023-11-08,2,49.58,0,49.58,Store_B,28530,
T011500,P0256,2024-03-21,1,53.79,0,53.79,Store_C,11499,
T017284,P0382,2024-11-27,1,74.43,20,59.54,Store_A,17283,
T023709,P0520,2024-10-27,1,33.63,0,33.63,Store_C,23708,
T030162,P0661,2023-08-15,1,82.92,30,58.04,STORE_B,30161,
T009158,P0205,2023-11-29,2,72.51,20,58.01,,9157,
T034656,P0764,2024-09-03,1,95.41,0,95.41,Store_C,34655,
T023114,P0509,2023-08-29,1,38.67,10,34.8,,23113,
T004664,P0106,2023/10/30,2,103.3,0,103.3,Store_C,4663,
T012579,P0280,2024-05-12,1,35.32,10,31.79,Store_C,12578,
T026722,P0586,2023-11-15,1,54.66,30,38.26,Store B,26721,
T011565,P0257,2023-10-20,1,44.37,0,44.37,,11564,
T006707,P0151,2023-12-28,1,52.09,30,36.46,Store_A ,6706,
T002755,P0063,29-Feb-2024,2,53.32,0,53.32,Online,2754,
T021295,P0471,2023-03-04,1,88.97,0,88.97,Store_C,21294,
T011369,P0253,2023-05-13,1,46.69,0,46.69,Online,11368,
T034708,P0765,2023-04-26,2,52.52,0,52.52,Store_C,34707,
T005008,P0113,2024-09-20,1,35.67,0,35.67,Store_C,5007,
T022115,P0489,2024-09-11,1,19.31,0,19.31,Store_A,22114,
T023319,P0513,2024-03-18,1,69.68,0,69.68,Online,23318,
T033042,P0725,2024-12-02,2,45.93,10,41.34,Store_A ,33041,
T028448,P0624,12/12/2024,2,74.4,10,66.96,Online,28447,
T030588,P0671,2024-11-08,1,55.33,10,49.8,StoreB,30587,
T018770,P0415,2023-10-18,1,38.94,0,38.94,Store_C,18769,
T009207,P0206,05/11/2024,1,36.92,0,36.92,Store_B,9206,
T005631,P0128,2024-09-05,2,70.62,0,70.62,Store_C,5630,
T028358,P0622,2023-05-29,1,78.02,10,70.22,Store_B,28357,
T013468,P0299,2024-09-07,1,74.8,30,52.36,STORE_A,13467,
T019396,P0428,2024/02/29,1,116.25,0,116.25,Store_A,19395,
T030478,P0670,2023-08-17,1,48.68,0,48.68,Store_C,30477,
T014428,P0320,2024-10-26,1,92.24,10,83.02,Store_A ,14427,
T014807,P0330,2023-03-11,1,30.27,0,30.27,Store C,14806,
T019515,P0430,2023-09-07,1,30.48,20,24.38,Store_A,19514,
T008047,P0182,10/27/2023,1,136.65,0,136.65,Online,8046,
T032006,P0704,2024-03-27,3,21.1,0,21.1,Online,32005,
T014119,P0313,2024-07-19,1,57.79,30,40.45,Store_C,14118,
T030742,P0675,2024-08-28,1,24.9,0,24.9,Store_C,30741,
T034793,P0767,2023-08-15,1,47.46,0,47.46,Store_C,34792,
T032358,P0711,2023-11-12,1,60.3,0,60.3,Online,32357,
T010896,P0242,2024-06-11,2,125.84,20,100.67,Online,10895,
T011118,P0247,26-Oct-2024,1,37.02,20,29.62,store_b,11117,
T035644,P0785,2024-01-24,1,62.17,30,43.52,store_a,35643,
T004953,P0112,2023-09-14,2,74.52,0,74.52,Store_C,4952,
T013063,P0291,2023-11-30,1,30.31,10,27.28,Store_A,13062,
T035573,P0783,2023-09-03,1,70.64,10,63.58,Store_A,35572,
T029730,P0653,2024-09-04,1,111.16,0,111.16,Store_B,29729,
T023395,P0515,2023-03-31,1,55.53,0,55.53,Online,23394,
T020343,P0449,2024-04-25,1,105.81,0,105.81,Store_A,20342,
T034975,P0770,2023-04-13,1,66.76,0,66.76,Store_C,34974,
T004410,P0099,09/19/2023,1,89.75,20,71.8,ONLINE,4409,
T023784,P0522,2023/03/27,1,32.51,0,32.51,Store_A,23783,
T008783,P0197,2024-01-07,1,65.27,20,52.22,Online,8782,
T006940,P0156,2024-10-08,1,45.43,30,31.8,Online,6939,
T014484,P0322,2024-09-07,1,47.36,0,47.36,Store_A,14483,
T013334,P0297,2024-01-21,1,47.69,20,38.15,Online,13333,
T018564,P0410,2024-04-13,1,32.58,30,22.81,Store_B,18563,
T016598,P0367,2023-06-15,1,41.34,10,37.21,STORE_B,16597,
T009570,P0214,2024-05-05,1,40.12,10,36.11,Store_B,9569,
T003884,P0086,2024-10-13,1,52.9,30,37.03,Store_A,3883,
T028278,P0620,2024-07-28,1,78.8,10,70.92,Store_C,28277,
T013917,P0309,2024-08-08,1,32.76,30,22.93,Store_A,13916,
T004887,P0110,2024-06-12,1,76.42,10,68.78,Store_C,4886,
T033495,P0736,2023-04-13,2,31.79,0,31.79,Online,33494,
T033783,P0742,2023-11-12,1,85.58,30,59.91,Store_C,33782,
T029594,P0649,2024-04-29,1,39.38,10,35.44,Store_A,29593,
T034365,P0757,2023-05-16,2,49.16,0,49.16,Online,34364,
T032409,P0712,2023-05-28,1,65.5,30,45.85,Store_B,32408,
T020664,P0457,2024-04-12,1,71.61,10,64.45,Unknown,20663,
T013081,P0291,04/17/2024,1,30.31,30,21.22,Store_A,13080,
T009812,P0219,2023-10-06,1,26.66,0,26.66,StoreB,9811,
T012783,P0284,2024-07-15,1,55.79,30,39.05,Store_C,12782,
T010242,P0228,2024-06-01,1,35.31,10,31.78,Store_B,10241,
T000643,P0014,2024-10-29,1,49.27,10,44.34,Store_C,642,
T035847,P0790,2023-07-09,1,52.38,20,41.9,Online,35846,
T033797,P0742,2024-01-16,1,85.58,30,59.91,Online,33796,
T019043,P0421,2023-03-29,1,38.94,0,38.94,Unknown,19042,
T032176,P0707,2024-08-31,1,70.8,30,49.56,Store B,32175,
T035052,P0772,2024-02-08,1,116.11,30,81.28,Store_A,35051,
T033918,P0745,2024-06-04,1,35.34,30,24.74,Store_B,33917,
T000129,P0004,2024-03-30,2,132.57,0,132.57,Store_B,128,
T011235,P0250,2023-11-26,1,66.89,20,53.51,ONLINE,11234,
T014381,P0319,2023-11-20,1,33.69,10,30.32,Store_A,14380,
T035076,P0773,2024-04-13,1,25.65,0,25.65,store_a,35075,
T013116,P0293,2024-03-20,1,125.17,0,125.17,Store_C,13115,
T011915,P0266,2023-03-21,1,30.32,0,30.32,store_b,11914,
T008416,P0189,2023-05-25,1,48.86,20,39.09,Store_B,8415,
T013563,P0301,2023-10-24,1,95.65,20,76.52,Store_B,13562,
T005911,P0133,2024-11-24,1,22.37,30,15.66,Store_A,5910,
T019466,P0430,2023-02-23,1,30.48,0,30.48,Store_C,19465,
T017610,P0389,2024-12-18,1,62.74,30,43.92,Store_B,17609,
T013635,P0302,2024-12-04,1,47.28,10,42.55,Store_C,13634,
T015165,P0338,03/19/2023,1,25.75,0,25.75,STORE_B,15164,
T009244,P0207,2024-10-26,1,42.4,0,42.4,Store_A,9243,
T028980,P0635,2023-12-11,1,38.12,10,34.31,Store_A,28979,
T030766,P0675,2024-10-19,1,24.9,30,17.43,Store_A,30765,
T004713,P0107,2023-09-01,4,57.33,0,57.33,Online,4712,
T011495,P0256,2024/03/16,1,53.79,0,53.79,Store_B,11494,
T000248,P0006,2023-06-20,1,89.57,20,71.66,Store_A,247,
T026735,P0586,2024-03-15,1,54.66,20,43.73,Store_A,26734,
T006156,P0139,2024-08-03,2,76.09,0,76.09,,6155,
T025832,P0565,2023-09-15,2,52.35,20,41.88,Online,25831,
T024253,P0532,2023-05-23,1,64.24,0,64.24,Store_A,24252,
T007426,P0167,2024-07-23,1,35.53,10,31.98,STORE_A,7425,
T008645,P0195,2023-10-31,2,81.82,20,65.46,Online,8644,
T027699,P0608,2024-09-01,1,72.07,0,72.07,Store_B,27698,
T023649,P0519,10-Apr-2024,2,92.86,0,92.86,Store_C,23648,
T013982,P0311,2023-09-08,1,62.33,0,62.33,Store_A,13981,
T027403,P0602,2024-03-25,1,34.17,0,34.17,Store_C,27402,
T035049,P0772,2023-12-10,1,116.11,30,81.28,,35048,
T001454,P0032,11/04/2024,2,42.65,10,38.38,STORE_B,1453,
T010170,P0226,2024-10-16,1,35.61,20,28.49,Online,10169,
T015368,P0342,2024-03-23,1,35.64,10,32.08,Store_C,15367,
T026449,P0580,2024-12-27,1,77.29,30,54.1,Store_B,26448,
T000068,P0002,2024-09-30,4,39.81,0,39.81,STORE_C,67,
T025172,P0551,2024-09-02,1,75.95,10,68.36,Online ,25171,
T006663,P0150,2024-04-24,1,61.93,0,61.93,STORE_B,6662,
T005959,P0134,2023-12-19,2,34.01,30,23.81,Store_B,5958,
T014888,P0331,2023-08-30,1,58.16,10,52.34,Store_B,14887,
T007976,P0180,2024-01-12,1,68.98,20,55.18,Online,7975,
T009294,P0208,2023-04-30,1,69.51,10,62.56,Store_C,9293,
T028121,P0616,2023-07-09,1,71.77,20,57.42,Store_C,28120,
T011907,P0265,2024-10-12,1,66.44,30,46.51,Online,11906,
T015290,P0341,2023-10-02,2,124.39,0,124.39,Store_A,15289,
T007535,P0170,2023-10-20,1,39.27,0,39.27,Store_A,7534,
T032503,P0714,2024-05-25,2,23.77,20,19.02,Store B,32502,
T000537,P0012,2023-12-04,1,23.99,10,21.59,Store A,536,
T024440,P0536,2023-08-08,1,40.68,30,28.48,Store_A,24439,
T005091,P0115,2023-03-25,2,57.97,0,57.97,Online,5090,
T023190,P0510,2023-10-05,1,30.29,10,27.26,Store_B,23189,
T007143,P0162,2023-09-24,2,41.28,0,41.28,Store_A,7142,
T015188,P0338,2023-07-30,1,25.75,10,23.18,store_a,15187,
T013904,P0309,2024-06-09,1,32.76,10,29.48,Store_A,13903,
T032684,P0718,2024-11-02,1,85.28,10,76.75,Store_B,32683,
T031091,P0683,2024-10-11,2,79.56,20,63.65,STORE_A,31090,
T020599,P0456,2024-03-09,2,67.15,0,67.15,Store_B,20598,
T034021,P0748,2023-10-23,1,73.12,30,51.18,Store_C,34020,
T014439,P0321,2024-09-10,2,74.82,0,74.82,Store_A,14438,
T031843,P0700,2024-09-06,2,119.57,0,119.57,store_c,31842,
T031862,P0701,2023-08-25,2,29.12,0,29.12,Store_C,31861,
T020929,P0462,2023/04/07,1,42.9,0,42.9,online,20928,
T023244,P0511,2024-08-19,1,35.63,20,28.5,online,23243,
T033038,P0725,2024-11-21,1,45.93,30,32.15,Unknown,33037,
T009864,P0220,2023-10-12,1,35.05,0,35.05,Store_A,9863,
T027017,P0593,2024-05-10,1,74.58,0,74.58,store_a,27016,
T019952,P0440,2023-09-19,1,114.99,0,114.99,Store_C,19951,
T014804,P0330,2023-03-07,1,30.27,0,30.27,Online,14803,
T010914,P0243,2024-03-09,1,91.75,0,91.75,Store_C,10913,
T017056,P0377,2024-08-06,1,50.94,10,45.85,Store_C,17055,
T014940,P0333,03-Mar-2024,1,23.54,0,23.54,Store A,14939,
T000323,P0008,2023-09-30,1,49.12,0,49.12,Store C,322,
T017897,P0396,2023-09-25,1,20.99,0,20.99,Online,17896,
T002041,P0046,2024-03-07,2,31.93,20,$25.54,Store_B,2040,
T031293,P0687,2024-02-24,1,104.97,10,94.47,Store_B,31292,
T001860,P0043,16-Mar-2023,1,55.17,0,55.17,Store_C,1859,
T004868,P0110,2024-04-26,1,76.42,0,76.42,STORE_B,4867,
T033652,P0739,2023-09-21,1,103.07,10,92.76,Store_C,33651,
T011962,P0268,03/14/2024,3,56.46,0,56.46,Store_B,11961,
T023928,P0525,2024-04-06,1,84.56,0,84.56,Store_A,23927,
T027153,P0596,2024-09-30,1,29.29,0,29.29,Store_B,27152,
T032165,P0707,2024-06-21,1,70.8,30,49.56,Store_B,32164,
T014615,P0325,2024-10-17,1,132.59,0,132.59,Store_C,14614,
T003810,P0085,2023-02-09,1,30.35,0,30.35,Online,3809,
T029433,P0644,2023-10-06,1,49.42,30,34.59,store_c,29432,
T015066,P0335,2024-09-05,1,36.95,0,36.95,Store_B,15065,
T029335,P0643,2023-03-30,1,50.85,0,50.85,Online,29334,
T018088,P0400,2023-08-31,1,34.94,30,24.46,Store_C,18087,
T018465,P0409,2023-03-09,1,25.36,0,25.36, Online,18464,
T025223,P0552,2023-09-24,1,49.4,20,39.52,Store_B,25222,
T009582,P0214,2024-07-25,1,40.12,10,36.11,online,9581,
T020822,P0460,2023-09-12,2,54.7,0,54.7,Store_A,36341,
T006036,P0136,2024-09-22,2,27.19,0,27.19,Store_A,6035,
T010537,P0234,2024-04-01,1,38.57,0,38.57,Store_B,10536,
T000353,P0008,2023-12-20,1,49.12,10,44.21,Online,352,
T027214,P0597,2023-08-16,1,94.14,10,84.73,Store_B,27213,
T014981,P0333,2024-07-15,1,23.54,30,16.48,Store_C,14980,
T020823,P0460,2023-09-14,1,54.7,0,54.7,Store_B,20822,
T008703,P0196,2023-11-13,1,58.79,0,58.79,Store_B,8702,
T022392,P0495,2023-08-28,1,52.0,0,52.0,store_a,22391,
T019510,P0430,08/12/2023,1,30.48,30,21.34,Online,19509,
T015927,P0354,2023-10-14,1,61.92,20,49.54,Store_B,15926,
T022192,P0491,2024-03-07,2,39.46,0,39.46,Online,22191,
T018509,P0409,2023-08-22,1,25.36,30,17.75,Store_C,18508,
T022950,P0506,2023-10-10,1,91.77,0,91.77,Unknown,22949,
T027621,P0606,2024-03-25,1,34.29,0,34.29,Online,27620,
T035609,P0784,2024-06-07,1,87.32,30,61.12,StoreB,35608,
T019350,P0427,2024-08-20,2,97.28,0,97.28,Store_C,19349,
T019236,P0424,2024-10-15,2,33.54,0,33.54,Online ,19235,
T016952,P0376,2023-08-21,1,45.86,0,45.86,Store_B,16951,
T033663,P0740,2023-03-07,1,42.22,0,42.22, Online,33662,
T018860,P0417,2024-04-18,1,34.66,0,34.66,Store_B,18859,
T015218,P0339,2023-10-18,1,81.95,10,73.76,Store_A,15217,
T032401,P0712,2023/04/27,1,65.5,10,58.95,STORE_B,32400,
T009656,P0216,2023/04/02,1,28.68,0,28.68,Store_A ,9655,
T006523,P0146,2024-09-22,1,77.56,10,69.8,Store_B,6522,
T022401,P0495,2023/09/13,5,52.0,0,52.0,Store_B,22400,
T023099,P0509,2023-06-06,2,38.67,30,27.07,Store_B,23098,
T004725,P0107,2023-10-02,1,57.33,0,57.33,Store_C,4724,
T007533,P0170,2023-10-18,1,39.27,0,39.27,Store_A,7532,
T001615,P0036,2023-05-30,1,79.41,10,71.47,Store_C,1614,
T013564,P0301,28-Oct-2023,2,95.65,20,76.52,Store_B,13563,
T010367,P0231,2023-04-21,1,26.72,0,26.72,Store_A,10366,
T030208,P0662,12/28/2024,1,82.18,30,57.53,Store_C,30207,
T025398,P0556,2024-10-24,1,21.69,10,19.52,Online,25397,
T009591,P0214,2024-09-30,1,40.12,30,28.08,Online,9590,
T035526,P0782,2023-10-25,1,47.41,30,33.19,Store_B,35525,
T015776,P0351,25-Mar-2023,1,18.18,0,18.18,Store_B,15775,
T010655,P0237,2023/02/25,1,31.25,0,31.25,Store_C,10654,
T022654,P0500,2024-04-12,1,43.25,0,43.25,Store_B,22653,
T028541,P0626,2023-12-05,1,49.58,30,34.71,Online,28540,
T027442,P0602,2024-06-15,1,34.17,10,30.75,Store_C,27441,
T030895,P0678,2023-09-21,1,55.62,10,50.06,Store_C,30894,
T001528,P0034,18-Nov-2024,3,63.14,30,44.2,Store_B,1527,
T006912,P0156,2024-02-26,1,45.43,0,45.43,Online,6911,
T034308,P0756,2024-09-25,1,94.55,0,94.55,StoreB,34307,
T027097,P0595,2023-10-03,2,53.37,0,53.37,Store_C,27096,
T007895,P0179,2024-03-07,1,49.7,0,49.7,Store_C,7894,
T001192,P0027,2024-12-16,1,42.7,20,34.16,Store_C,1191,
T010251,P0228,2024-07-08,1,35.31,30,24.72,Store A,10250,
T021314,P0471,2023-05-10,1,88.97,20,71.18,Store_A,21313,
T028859,P0633,2023-09-26,1,40.34,0,40.34,Store_A,28858,
